Geneid	HBR1_sorted.sorted.bam	HBR2_sorted.sorted.bam	HBR3_sorted.sorted.bam	UHR1_sorted.sorted.bam	UHR2_sorted.sorted.bam	UHR3_sorted.sorted.bam
ENSG00000277248.1	0	0	0	0	0	0
ENSG00000283047.1	0	0	0	0	0	0
ENSG00000279973.2	0	0	0	0	0	0
ENSG00000226444.2	0	0	0	0	1	0
ENSG00000276871.1	0	0	0	0	0	0
ENSG00000288262.1	0	0	0	0	0	0
ENSG00000286406.1	0	0	0	0	0	0
ENSG00000283023.1	0	0	0	0	0	0
ENSG00000276138.1	0	0	0	0	0	0
ENSG00000280341.1	0	0	0	3	2	0
ENSG00000236235.1	0	0	0	0	0	1
ENSG00000279442.1	0	0	0	0	4	1
ENSG00000184624.4	0	0	0	0	1	0
ENSG00000236097.1	0	0	0	0	2	0
ENSG00000236831.1	0	0	0	0	0	0
ENSG00000130538.6	0	0	0	0	0	0
ENSG00000237299.1	0	0	0	0	3	0
ENSG00000235759.1	0	0	0	0	2	0
ENSG00000233408.1	0	0	0	0	1	0
ENSG00000215268.3	0	0	0	0	1	0
ENSG00000213727.3	0	0	0	0	0	0
ENSG00000230643.1	0	0	0	0	0	0
ENSG00000230471.1	0	0	0	0	3	0
ENSG00000231565.1	0	0	0	0	1	1
ENSG00000226474.1	0	0	0	0	0	0
ENSG00000224435.2	0	0	0	1	4	1
ENSG00000234381.1	0	0	0	0	2	1
ENSG00000198062.16	0	0	1	10	10	11
ENSG00000236666.1	0	0	0	0	2	0
ENSG00000212216.1	0	0	0	0	0	0
ENSG00000241838.3	0	0	0	2	2	2
ENSG00000225255.6	0	0	0	3	1	0
ENSG00000235992.1	0	0	0	0	1	0
ENSG00000206195.11	10	6	9	301	236	255
ENSG00000271127.2	1	1	1	60	25	36
ENSG00000232775.6	0	1	3	23	25	24
ENSG00000272872.1	4	2	0	94	37	49
ENSG00000271672.1	0	0	1	64	45	40
ENSG00000223875.2	0	0	0	6	6	3
ENSG00000215270.3	0	0	0	11	6	6
ENSG00000229286.1	0	0	0	0	0	1
ENSG00000233866.1	0	0	0	0	3	0
ENSG00000278188.1	0	0	0	0	0	0
ENSG00000225293.1	0	0	0	0	2	0
ENSG00000226160.1	0	0	0	0	0	0
ENSG00000229658.1	0	0	0	0	1	0
ENSG00000227367.1	0	0	0	0	1	0
ENSG00000280263.1	0	0	0	0	1	0
ENSG00000235969.1	0	0	0	0	0	0
ENSG00000273362.1	0	0	0	0	0	0
ENSG00000233995.1	0	0	0	0	0	0
ENSG00000239435.2	0	0	0	2	1	1
ENSG00000198445.4	0	0	0	1	2	0
ENSG00000287285.1	0	0	0	0	0	0
ENSG00000240122.1	0	0	0	0	0	0
ENSG00000100181.22	19	22	18	128	86	108
ENSG00000283633.1	2	7	5	28	16	28
ENSG00000267338.1	0	0	1	3	4	3
ENSG00000249288.1	0	0	0	2	2	4
ENSG00000249263.2	1	0	0	2	1	3
ENSG00000189295.13	1	1	0	6	3	3
